County,"Agriculture, Forestry and Mining",Mining and Quarrying,Manufacturing,Electricity supply,Water supply; waste collection,Construction,Wholesale and Retail trade; repair of motor vehicles,Transport and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real Estate activities,Professional and technical services,Administrative support services,Public administration and defence,Education,Human health and social work activities,Other service activities,Financial services indirectly measured,GCP
BARINGO,24600,136,4267,120,407,1668,2271,9966,213,2169,911,3028,1697,1168,9143,5155,3452,1586,411,71544
BOMET,74205,671,9891,393,625,10011,1241,10281,958,1006,817,3495,2034,1071,8967,7684,2326,2509,492,137691
BUNGOMA,81093,321,7522,644,1400,5135,10061,23566,2064,3753,2234,9412,3545,1925,16244,17481,3891,4812,1390,193711
BUSIA,29026,319,2678,211,611,7303,2556,8717,164,1030,1012,4080,1707,898,10073,7959,2320,3169,553,83280
ELGEYO MARAKWET,69676,525,2335,136,277,975,1977,9250,210,1297,231,2941,744,530,6442,4177,2383,844,106,104844
EMBU,36671,246,3112,16750,1120,11081,9323,25527,1532,2138,2270,6786,2162,1258,8116,5569,3201,2709,705,138867
GARISSA,15734,591,1246,457,941,1964,5192,1995,538,773,826,3700,266,447,12679,2970,3748,1193,320,54939
HOMA BAY,47748,461,5041,187,701,2254,4764,12967,1210,1713,889,5065,2756,1302,9940,10798,3654,4160,554,115057
ISIOLO,4165,43,443,251,249,2491,2650,1326,486,596,414,1579,451,562,6228,994,1536,884,230,25117
KAJIADO,19320,2976,7554,1972,862,12257,8297,13818,4007,5606,4312,26958,5297,3276,10689,5491,4641,8052,2186,141199
KAKAMEGA,78441,1560,13988,622,1670,3161,13631,16669,2222,5777,2535,14106,4221,2484,15127,21121,2205,5719,1355,203904
KERICHO,68270,158,10957,1593,819,4387,10960,12136,1943,2541,2949,7296,2545,1429,9411,9650,3626,3155,1406,152420
KIAMBU,85221,4447,68672,10354,4493,78023,30629,58105,5330,12647,14637,52959,19169,11048,21025,29709,10973,21821,6763,532498
KILIFI,39734,3606,37483,1080,2095,1984,10566,28340,3870,5773,2877,18343,4056,2221,15232,11894,4650,6717,1291,199179
KIRINYAGA,56160,1541,5296,587,576,618,7240,12496,4746,2621,1722,7681,3004,1321,7206,4908,3380,3358,785,123676
KISII,77633,444,5478,515,1076,6101,10286,29133,2174,1349,3774,9009,3428,2080,13735,12017,4916,3658,1764,185041
KISUMU,38614,1769,27391,5120,1990,15498,18126,39298,4405,4272,10232,29825,5366,3148,13416,13221,4980,6658,4766,238564
KITUI,42139,687,3975,101,995,2955,6005,18629,1669,2809,1471,6914,2515,1524,14116,12344,5213,4274,767,127567
KWALE,34614,9888,6162,413,590,4159,1762,10185,4196,2094,913,9262,1785,979,10737,5578,2594,3232,486,108658
LAIKIPIA,23474,123,2505,396,1198,7732,9461,12296,1967,2182,1849,5923,1750,1495,8716,4779,947,2459,748,88501
LAMU,9517,136,1212,93,138,137,2407,7665,274,683,311,1934,403,288,4396,956,1165,763,143,32338
MACHAKOS,49442,10428,62424,3198,1343,22643,29192,25942,3740,7424,4297,28550,7103,3845,14935,12125,3981,8601,1863,297350
MAKUENI,30228,690,4896,205,714,4212,9764,14172,1724,2099,1211,5322,2918,1543,11852,9603,4222,4606,595,109383
MANDERA,17732,192,1021,405,320,3371,1329,1701,122,696,407,3156,216,321,13008,3025,3087,1020,72,51056
MARSABIT,12799,78,593,12336,172,10426,1530,1939,167,715,589,1981,335,395,7971,1711,2144,999,168,56711
MERU,173601,3402,15387,1706,948,6233,9464,30935,836,3709,5711,18403,4934,2452,14513,12370,6865,6763,2139,316093
MIGORI,43925,6514,3402,386,644,1122,4219,12243,1389,1958,895,4707,2361,1087,9827,13530,3379,3768,586,114770
MOMBASA,3434,1223,79135,12151,1462,52579,54485,112182,11343,12887,38610,51458,7706,5483,15218,6839,7415,11919,15945,469584
MURANGA,87141,2410,7454,1850,1070,10303,5395,14071,2499,3189,2346,10536,4338,2227,9168,9572,3705,4617,1112,180780
NAIROBI,5080,817,305338,26375,17350,250188,403471,376594,25964,124510,499297,458810,40786,28744,42540,39332,32968,55733,156971,2586926
NAKURU,110181,643,32462,51146,3311,23006,51922,62437,8753,8311,13483,26577,8938,5648,19842,21304,7365,11958,5653,461636
NANDI,80022,641,8157,456,595,1403,3505,9229,1222,1909,1087,6153,2074,1024,9512,7771,3508,2944,680,140534
NAROK ,74762,230,7571,350,775,1415,5759,14511,1198,4962,1464,8675,1607,1127,15340,9653,4927,3312,825,156813
NYAMIRA,52635,1489,4947,312,486,3567,4680,11234,1274,1181,585,4381,1182,871,9094,5556,3867,1373,427,108286
NYANDARUA,97928,767,2040,282,370,612,1943,7369,1459,1151,1175,4585,2192,1141,9313,5391,1247,2233,463,140734
NYERI,72193,2425,12656,956,1666,1849,19284,23760,2125,5014,6099,11611,3945,2754,11415,8646,4986,3916,1656,193645
SAMBURU,4997,51,1220,63,181,886,2112,1741,1468,340,283,2235,328,546,8194,1636,1380,623,126,28158
SIAYA,36234,1229,3111,466,733,5872,1173,9916,462,2362,651,6013,2791,1050,9449,10687,2850,4411,366,99092
TAITA TAVETA,13980,787,2501,225,570,2773,11912,5928,1174,1331,905,4477,1205,910,7234,2879,695,1800,407,60879
TANA RIVER,8982,61,636,74,154,152,1291,2501,40,780,264,1842,355,344,6630,1591,1346,720,137,27627
THARAKA NITHI,18158,194,2762,111,322,4480,1445,5461,1277,1457,602,2368,1334,755,6164,5835,2400,1396,242,56281
TRANS NZOIA,60026,295,5442,377,842,3515,15193,22136,2086,4687,2267,8491,2247,1160,8207,9108,2624,4142,1278,151566
TURKANA,32811,1409,2113,46,473,4328,5340,19192,350,873,947,6782,585,737,19586,4245,1700,1693,222,102987
UASIN GISHU,54609,771,11951,1459,1829,9775,20869,34870,4150,2561,12309,19958,5652,2698,10796,19442,10400,6811,6810,224099
VIHIGA,32135,1803,1348,297,493,5399,3063,5708,40,815,601,6158,1453,946,7116,6533,2497,2085,410,78080
WAJIR,16445,486,1158,56,377,4146,958,3501,46,342,408,1555,230,245,12201,2292,2240,884,98,47473
WEST POKOT,25537,3065,886,4086,333,578,2561,11244,377,719,251,1783,367,378,8455,5568,1793,906,160,68726
